timestamp,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,electricity
2016-01-01 00:00:00,-7.2,8.0,-10.6,0.0,-1.0,1022.9,280.0,5.7,151.826
2016-01-01 01:00:00,-6.7,,-10.0,-1.0,,1022.5,280.0,4.1,151.826
2016-01-01 02:00:00,-6.7,,-9.4,0.0,,1022.1,260.0,2.6,152.757
2016-01-01 03:00:00,-6.7,,-9.4,-1.0,,1022.0,250.0,3.6,150.827
2016-01-01 04:00:00,-8.3,,-11.7,0.0,,1021.9,270.0,6.7,150.607
2016-01-01 05:00:00,-8.3,,-11.7,0.0,,1021.3,250.0,3.6,150.58700000000005
2016-01-01 06:00:00,-8.9,6.0,-12.2,0.0,0.0,1020.3,220.0,5.1,154.89
2016-01-01 07:00:00,-9.4,,-11.7,0.0,,1019.5,220.0,3.6,161.341
2016-01-01 08:00:00,-8.9,,-11.7,0.0,,1019.4,220.0,2.1,162.287
2016-01-01 09:00:00,-8.3,,-11.1,0.0,,1018.9,230.0,3.6,233.502
2016-01-01 10:00:00,-6.7,,-10.6,0.0,,1017.9,230.0,6.2,241.838
2016-01-01 11:00:00,-5.6,,-10.0,0.0,,1017.4,240.0,6.2,239.126
2016-01-01 12:00:00,-2.8,2.0,-8.9,0.0,,1017.1,250.0,5.1,234.239
2016-01-01 13:00:00,-1.7,0.0,-8.3,0.0,,1016.0,270.0,5.7,236.185
2016-01-01 14:00:00,-1.1,0.0,-7.8,0.0,,1015.8,290.0,7.7,237.58900000000003
2016-01-01 15:00:00,-1.1,0.0,-7.8,0.0,,1016.4,280.0,5.7,238.463
2016-01-01 16:00:00,-1.7,0.0,-8.3,0.0,,1017.7,300.0,7.2,237.226
2016-01-01 17:00:00,-2.8,0.0,-8.3,0.0,,1018.3,290.0,4.6,240.036
2016-01-01 18:00:00,-3.3,0.0,-8.3,0.0,,1019.2,270.0,4.1,172.813
2016-01-01 19:00:00,-3.9,0.0,-8.3,0.0,,1019.9,270.0,5.1,164.43400000000003
2016-01-01 20:00:00,-5.0,0.0,-8.9,0.0,,1020.4,270.0,5.1,161.325
2016-01-01 21:00:00,-5.6,0.0,-9.4,0.0,,1020.4,270.0,4.6,159.844
2016-01-01 22:00:00,-6.1,0.0,-9.4,0.0,,1020.9,270.0,3.6,150.613
2016-01-01 23:00:00,-7.2,0.0,-10.0,0.0,,1020.9,270.0,2.6,149.67
2016-01-02 00:00:00,-7.2,0.0,-10.0,0.0,,1020.9,230.0,1.5,148.304
