timestamp,airTemperature,cloudCoverage,dewTemperature,seaLvlPressure,windDirection,windSpeed,electricity
2016/1/1 0:00,-7.2,8,-10.6,1022.9,280,5.7,142.836
2016/1/1 1:00,-6.7,8,-10,1022.5,280,4.1,142.836
2016/1/1 2:00,-6.7,8,-9.4,1022.1,260,2.6,203.826
2016/1/1 3:00,-6.7,8,-9.4,1022,250,3.6,176.006
2016/1/1 4:00,-8.3,8,-11.7,1021.9,270,6.7,126.716
2016/1/1 5:00,-8.3,8,-11.7,1021.3,250,3.6,204.018
2016/1/1 6:00,-8.9,6,-12.2,1020.3,220,5.1,184.995
2016/1/1 7:00,-9.4,6,-11.7,1019.5,220,3.6,122.052
2016/1/1 8:00,-8.9,6,-11.7,1019.4,220,2.1,227.194
2016/1/1 9:00,-8.3,6,-11.1,1018.9,230,3.6,351.871
2016/1/1 10:00,-6.7,6,-10.6,1017.9,230,6.2,350.529
2016/1/1 11:00,-5.6,6,-10,1017.4,240,6.2,322
2016/1/1 12:00,-2.8,2,-8.9,1017.1,250,5.1,316.633
2016/1/1 13:00,-1.7,0,-8.3,1016,270,5.7,360.441
2016/1/1 14:00,-1.1,0,-7.8,1015.8,290,7.7,382.348
2016/1/1 15:00,-1.1,0,-7.8,1016.4,280,5.7,565.768
2016/1/1 16:00,-1.7,0,-8.3,1017.7,300,7.2,571.61
2016/1/1 17:00,-2.8,0,-8.3,1018.3,290,4.6,637.415
2016/1/1 18:00,-3.3,0,-8.3,1019.2,270,4.1,693.151
2016/1/1 19:00,-3.9,0,-8.3,1019.9,270,5.1,691.392
2016/1/1 20:00,-5,0,-8.9,1020.4,270,5.1,665.092
2016/1/1 21:00,-5.6,0,-9.4,1020.4,270,4.6,713.7
2016/1/1 22:00,-6.1,0,-9.4,1020.9,270,3.6,614.233
2016/1/1 23:00,-7.2,0,-10,1020.9,270,2.6,329.439
2016/1/2 0:00,-7.2,0,-10,1020.9,230,1.5,280.118
2016/1/2 1:00,-7.8,0,-10.6,1020.9,200,2.1,223.652
2016/1/2 2:00,-8.9,0,-11.1,1020.4,220,2.6,213.842
2016/1/2 3:00,-8.9,0,-11.1,1020.7,200,2.6,204.263
2016/1/2 4:00,-9.4,0,-11.1,1020.4,210,2.1,120.38
2016/1/2 5:00,-9.4,0,-11.7,1019.5,220,3.1,204.327
2016/1/2 6:00,-10,0,-11.7,1019.5,230,3.1,208.679
2016/1/2 7:00,-8.9,0,-11.7,1018.4,220,4.1,143.951
2016/1/2 8:00,-8.9,0,-11.1,1017.8,240,2.6,192.694
2016/1/2 9:00,-8.3,0,-11.1,1017.9,240,3.6,230.131
2016/1/2 10:00,-6.7,0,-11.1,1017.2,250,4.1,248.948
2016/1/2 11:00,-5.6,0,-10.6,1016.7,250,4.1,264.239
2016/1/2 12:00,-2.8,0,-9.4,1015.5,250,4.6,379.151
2016/1/2 13:00,-1.7,0,-8.9,1015.1,280,6.7,423.159
2016/1/2 14:00,-1.1,0,-8.3,1014.7,270,5.1,397.044
2016/1/2 15:00,-0.6,0,-8.3,1014.5,280,4.6,570.71
2016/1/2 16:00,-0.6,0,-8.3,1015.2,280,4.6,618.697
2016/1/2 17:00,-2.2,0,-8.3,1015.7,270,6.2,640.732
2016/1/2 18:00,-2.8,0,-8.3,1016.2,280,4.6,714.687
2016/1/2 19:00,-3.3,0,-8.9,1016.4,290,4.6,687.235
2016/1/2 20:00,-4.4,0,-8.9,1017.5,290,4.6,702.823
2016/1/2 21:00,-3.3,0,-8.3,1017.9,300,7.2,698.905
2016/1/2 22:00,-3.9,0,-8.3,1018.7,310,7.2,621.304
2016/1/2 23:00,-4.4,0,-8.3,1019.4,310,6.7,446.728
2016/1/3 0:00,-3.9,8,-7.8,1019.9,320,6.2,324.535
2016/1/3 1:00,-3.3,8,-7.2,1020.1,330,7.7,262.01
2016/1/3 2:00,-2.8,8,-7.2,1020.9,330,6.2,213.83
2016/1/3 3:00,-2.8,8,-6.7,1022,330,5.1,208.925
2016/1/3 4:00,-2.8,8,-6.7,1022.7,320,6.7,167.327
2016/1/3 5:00,-3.3,8,-6.7,1023.2,330,6.2,160.841
2016/1/3 6:00,-2.8,8,-7.2,1023.9,340,5.1,210.035
2016/1/3 7:00,-2.8,8,-6.7,1024.8,340,5.7,210.099
2016/1/3 8:00,-2.8,8,-7.2,1025.5,330,4.6,129.799
2016/1/3 9:00,-2.8,8,-6.7,1026.4,340,3.6,226.24
2016/1/3 10:00,-2.8,8,-7.8,1027.2,350,6.7,288.512
2016/1/3 11:00,-2.2,8,-7.2,1027.8,320,6.2,265.199
2016/1/3 12:00,-2.2,8,-7.8,1027.4,330,4.6,279.96
2016/1/3 13:00,-2.2,8,-7.8,1027.1,310,3.6,267.712
2016/1/3 14:00,-2.8,8,-7.8,1027.3,330,4.1,302.87
2016/1/3 15:00,-2.8,8,-7.8,1027.5,300,3.6,294.097
2016/1/3 16:00,-2.2,8,-7.2,1027.8,280,3.6,367.329
2016/1/3 17:00,-2.8,4,-7.8,1027.8,290,3.1,333.614
2016/1/3 18:00,-2.8,2,-7.8,1028.5,260,2.6,303.449
2016/1/3 19:00,-3.9,2,-7.8,1028.8,270,4.1,289.778
2016/1/3 20:00,-5,0,-7.8,1029.2,290,3.6,306.047
2016/1/3 21:00,-5,0,-7.8,1029.4,310,4.6,324.662
